,O3,vh,wind,humidity,temp,ibh,dpg,ibt,vis,doy
118,NA,5680,6,77,41,5000,75,49,120,156
283,NA,5710,4,67,49,5000,24,55,200,341
23,NA,5680,3,64,53,111,-10,153,50,55
108,NA,5780,7,78,68,1479,40,200,100,144
310,NA,5760,0,32,62,826,-16,182,300,368
148,NA,5650,6,66,61,2670,54,130,120,188
84,NA,5710,3,46,62,472,34,172,300,121
7,NA,5700,3,73,41,2083,23,114,120,39
119,NA,5650,8,66,61,1410,20,129,140,157
230,NA,5760,7,87,52,5000,39,110,150,281
123,NA,5830,6,75,74,898,24,230,70,161
111,NA,5620,9,47,56,5000,43,35,140,147
189,NA,5870,4,90,86,1899,45,247,40,231
248,NA,5710,6,65,56,5000,35,88,200,302
78,NA,5720,4,71,42,1381,4,135,60,115
11,NA,5760,6,33,51,492,-44,181,40,43
99,NA,5620,5,73,39,5000,107,-4,100,135
251,NA,5880,3,77,71,711,-9,242,40,305
65,NA,5620,9,61,43,5000,66,13,120,101
180,NA,5860,3,64,78,2385,67,213,50,221
43,NA,5730,5,66,49,1161,27,116,200,76
285,NA,5660,3,54,50,5000,27,70,300,343
25,NA,5810,5,19,64,1791,-15,182,150,59
86,NA,5680,5,69,61,944,35,132,100,122
269,NA,5670,4,67,55,5000,11,97,50,323
140,NA,5770,4,81,62,2785,49,174,100,181
207,NA,5750,7,58,64,4212,46,138,200,257
263,NA,5790,5,71,69,2109,21,209,17,317
261,NA,5800,7,66,66,3146,27,178,50,315
299,NA,5670,8,19,34,5000,-63,28,150,357
217,NA,5900,6,71,87,869,19,261,17,267
91,NA,5690,6,63,59,2014,31,119,300,127
19,NA,5760,3,19,54,5000,-58,111,250,51
50,NA,5640,5,68,50,5000,24,56,300,84
131,NA,5720,8,62,66,2880,53,141,120,170
39,NA,5680,5,50,51,5000,-8,75,300,72
262,NA,5830,4,74,69,2234,11,193,70,316
254,NA,5890,5,19,71,5000,-40,198,80,308
169,NA,5860,4,77,88,826,41,291,140,209
293,NA,5780,2,82,63,1112,-8,191,30,351
182,NA,5850,9,72,77,3389,56,204,80,223
236,NA,5830,5,71,71,2716,26,176,140,288
96,NA,5560,4,65,40,5000,59,18,140,132
128,NA,5800,7,78,76,1597,56,200,50,167
265,NA,5780,5,74,65,2270,-7,205,50,319
218,NA,5920,4,77,89,800,24,298,20,268
135,NA,5780,3,68,80,2053,31,227,120,176
126,NA,5850,4,76,78,1181,50,266,17,164
41,NA,5650,5,61,41,5000,51,24,100,74
83,NA,5730,6,45,58,5000,-14,115,100,120
134,NA,5730,5,71,67,4337,66,152,200,175
1,NA,5710,4,28,40,2693,-25,87,250,33
176,NA,5900,6,86,87,990,22,295,40,216
184,NA,5810,8,69,76,2394,54,209,90,226
110,NA,5700,5,41,52,869,0,145,40,146
129,NA,5740,3,74,74,1184,52,208,70,168
149,NA,5610,3,61,52,5000,76,56,150,189
209,NA,5730,7,72,67,5000,31,141,300,259
171,NA,5820,5,65,72,2116,47,213,120,211
291,NA,5780,3,50,66,436,1,213,4,349
66,NA,5690,0,60,49,613,-27,154,300,102
55,NA,5670,7,61,44,3497,73,97,40,89
295,NA,5750,2,85,60,501,-22,216,2,353
87,NA,5620,6,67,34,5000,75,18,200,123
224,NA,5860,7,71,76,377,-2,285,40,273
94,NA,5630,6,61,51,524,57,126,140,130
63,NA,5510,5,50,45,5000,38,5,140,99
166,NA,5860,6,39,90,400,19,285,120,206
258,NA,5830,8,77,71,337,-17,273,20,312
175,NA,5890,6,71,91,1486,33,266,50,215
122,NA,5760,7,78,74,1184,40,204,80,160
292,NA,5790,0,76,66,830,3,189,40,350
260,NA,5830,5,76,71,1394,13,239,30,314
325,NA,5680,4,57,47,508,-10,148,100,383
152,NA,5760,3,58,67,987,28,177,140,192
